InvoiceNo,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,Revenue,Year,Month
547070,16115.0,United Kingdom,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,4.95,9.9,2011,3
569140,14503.0,United Kingdom,22633,HAND WARMER UNION JACK,12,2.1,25.200000000000003,2011,9
563161,14790.0,United Kingdom,85175,CACTI T-LIGHT CANDLES,32,0.42,13.44,2011,8
570688,,United Kingdom,23089,GLASS BON BON JAR,2,3.29,6.58,2011,10
565315,14019.0,United Kingdom,22178,VICTORIAN GLASS HANGING T-LIGHT,24,1.25,30.0,2011,9
579787,,United Kingdom,21843,RED RETROSPOT CAKE STAND,4,20.79,83.16,2011,11
538709,16442.0,United Kingdom,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,2.95,2.95,2010,12
557123,15555.0,United Kingdom,23006,TRAVEL CARD WALLET FLOWER MEADOW,10,0.42,4.2,2011,6
574021,14434.0,United Kingdom,23355,HOT WATER BOTTLE KEEP CALM,24,4.15,99.60000000000001,2011,11
560271,16474.0,United Kingdom,35651,VINTAGE BEAD PINK SCARF ,5,1.65,8.25,2011,7
547785,13097.0,United Kingdom,22630,DOLLY GIRL LUNCH BOX,2,1.95,3.9,2011,3
569060,13954.0,United Kingdom,22847,BREAD BIN DINER STYLE IVORY,2,16.95,33.9,2011,9
553767,,United Kingdom,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,3.29,3.29,2011,5
572069,14911.0,EIRE,23319,BOX OF 6 MINI 50'S CRACKERS,6,2.49,14.940000000000001,2011,10
539039,13124.0,United Kingdom,21824,PAINTED METAL STAR WITH HOLLY BELLS,24,1.45,34.8,2010,12
538707,17894.0,United Kingdom,20981,12 PENCILS TALL TUBE WOODLAND,1,0.85,0.85,2010,12
569134,15411.0,United Kingdom,23399,HOME SWEET HOME HANGING HEART,12,0.85,10.2,2011,9
559902,14502.0,United Kingdom,22597,MUSICAL ZINC HEART DECORATION ,2,0.85,1.7,2011,7
541014,14085.0,United Kingdom,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,8.5,8.5,2011,1
546009,16426.0,United Kingdom,22371,AIRLINE BAG VINTAGE TOKYO 78,1,4.25,4.25,2011,3
577106,14456.0,United Kingdom,20963,APPLE BATH SPONGE,2,1.25,2.5,2011,11
544803,14606.0,United Kingdom,17090D,VANILLA INCENSE 40 CONES IN TIN,1,1.25,1.25,2011,2
574891,14606.0,United Kingdom,22406,MONEY BOX KINGS CHOICE DESIGN,1,1.25,1.25,2011,11
554098,14769.0,United Kingdom,21447,12 IVORY ROSE PEG PLACE SETTINGS,4,1.25,5.0,2011,5
576941,12562.0,France,22947,WOODEN ADVENT CALENDAR RED,6,7.95,47.7,2011,11
565434,12867.0,United Kingdom,84991,60 TEATIME FAIRY CAKE CASES,5,0.55,2.75,2011,9
547079,15408.0,United Kingdom,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,7.95,15.9,2011,3
538177,,United Kingdom,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,5.91,5.91,2010,12
553162,,United Kingdom,20735,BLACK MINI TAPE MEASURE ,1,0.83,0.83,2011,5
552318,17231.0,United Kingdom,23159,SET OF 5 PANCAKE DAY MAGNETS,2,2.08,4.16,2011,5
543345,,United Kingdom,20829,GLITTER HANGING BUTTERFLY STRING,1,4.13,4.13,2011,2
544115,12727.0,France,22209,WOOD STAMP SET HAPPY BIRTHDAY,12,1.65,19.799999999999997,2011,2
547985,16455.0,United Kingdom,22082,RIBBON REEL STRIPES DESIGN ,10,1.65,16.5,2011,3
536742,16916.0,United Kingdom,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,1.49,2.98,2010,12
546249,14606.0,United Kingdom,22137,BATHROOM SET LOVE HEART DESIGN,1,2.95,2.95,2011,3
570022,14067.0,United Kingdom,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,0.65,0.65,2011,10
575985,17841.0,United Kingdom,23394,POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,11
536864,,United Kingdom,21169,YOU'RE CONFUSING ME METAL SIGN ,2,4.21,8.42,2010,12
561040,12431.0,Australia,23284,DOORMAT KEEP CALM AND COME IN,10,6.75,67.5,2011,7
577479,14911.0,EIRE,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,12,4.25,51.0,2011,11
577508,18127.0,United Kingdom,23270,SET OF 2 CERAMIC PAINTED HEARTS ,2,1.45,2.9,2011,11
